PassengerID,age,Gender,passenger_class,passenger_type,type_of_travel,FlightID,FoodID,SatisfactionID
23366,31,Male,Business,Loyal Customer,Business travel,123,1,3
23367,44,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23368,27,Male,Business,Loyal Customer,Business travel,123,1,3
23370,47,Female,Business,Loyal Customer,Business travel,123,1,3
23371,24,Male,Business,Loyal Customer,Business travel,123,1,3
23372,67,Male,Business,Loyal Customer,Business travel,123,1,3
23374,32,Male,Business,Loyal Customer,Business travel,123,1,3
23375,58,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23376,12,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23378,56,Female,Business,Loyal Customer,Business travel,123,1,3
23379,58,Female,Business,Loyal Customer,Personal Travel,123,1,3
23380,24,Male,Eco,disloyal Customer,Business travel,123,1,3
23381,68,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23382,46,Male,Business,Loyal Customer,Business travel,123,1,3
23383,43,Male,Business,Loyal Customer,Business travel,123,1,3
23384,55,Female,Business,Loyal Customer,Business travel,123,1,3
23385,54,Female,Business,Loyal Customer,Personal Travel,123,1,3
23386,42,Female,Business,Loyal Customer,Business travel,123,1,3
23387,47,Female,Business,Loyal Customer,Business travel,123,1,3
23389,29,Female,Business,disloyal Customer,Business travel,123,1,3
23390,36,Female,Eco,Loyal Customer,Business travel,123,1,3
23391,50,Female,Business,Loyal Customer,Business travel,123,1,3
23392,31,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23393,13,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23394,24,Male,Eco,disloyal Customer,Business travel,123,1,3
23395,60,Female,Business,Loyal Customer,Business travel,123,1,3
23396,42,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23397,57,Female,Business,Loyal Customer,Business travel,123,1,3
23398,42,Female,Business,Loyal Customer,Business travel,123,1,3
23399,20,Male,Eco,disloyal Customer,Business travel,123,1,3
23400,51,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23401,45,Male,Business,Loyal Customer,Business travel,123,1,3
23402,26,Female,Eco Plus,Loyal Customer,Business travel,123,1,3
23403,26,Male,Eco,disloyal Customer,Business travel,123,1,3
23404,24,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23406,49,Male,Eco,Loyal Customer,Business travel,123,1,3
23407,17,Female,Eco,Loyal Customer,Business travel,123,1,3
23408,39,Female,Business,Loyal Customer,Business travel,123,1,3
23409,49,Female,Business,Loyal Customer,Business travel,123,1,3
23410,48,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23411,52,Male,Business,Loyal Customer,Business travel,123,1,3
23412,25,Female,Business,Loyal Customer,Business travel,123,1,3
23413,16,Female,Business,Loyal Customer,Business travel,123,1,3
23414,58,Male,Business,Loyal Customer,Business travel,123,1,3
23415,8,Male,Business,disloyal Customer,Business travel,123,1,3
23416,42,Male,Business,Loyal Customer,Business travel,123,1,3
23417,52,Female,Business,Loyal Customer,Business travel,123,1,3
23418,47,Female,Eco,Loyal Customer,Business travel,123,1,3
23419,69,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23420,47,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23421,41,Female,Business,Loyal Customer,Business travel,123,1,3
23423,40,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23424,56,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23425,41,Male,Business,Loyal Customer,Business travel,123,1,3
23426,40,Female,Eco,Loyal Customer,Business travel,123,1,3
23427,12,Male,Business,Loyal Customer,Personal Travel,123,1,3
23428,59,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23429,21,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23430,12,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23433,31,Male,Eco,Loyal Customer,Business travel,123,1,3
23434,37,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23435,38,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23436,45,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23437,43,Male,Business,Loyal Customer,Business travel,123,1,3
23438,52,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23439,57,Female,Business,Loyal Customer,Business travel,123,1,3
23440,13,Female,Business,Loyal Customer,Personal Travel,123,1,3
23441,45,Female,Business,Loyal Customer,Business travel,123,1,3
23442,43,Female,Business,Loyal Customer,Business travel,123,1,3
23443,53,Male,Eco,Loyal Customer,Business travel,123,1,3
23444,23,Male,Business,Loyal Customer,Business travel,123,1,3
23445,16,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23446,23,Male,Eco,Loyal Customer,Business travel,123,1,3
23447,45,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23448,46,Female,Business,Loyal Customer,Business travel,123,1,3
23449,49,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23450,40,Female,Business,Loyal Customer,Business travel,123,1,3
23451,19,Female,Business,Loyal Customer,Business travel,123,1,3
23452,48,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23453,64,Female,Business,Loyal Customer,Business travel,123,1,3
23454,38,Female,Eco,Loyal Customer,Business travel,123,1,3
23455,23,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23456,38,Female,Business,Loyal Customer,Business travel,123,1,3
23457,41,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23458,29,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23459,47,Male,Eco Plus,Loyal Customer,Business travel,123,1,3
23460,50,Male,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23461,18,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23462,20,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23463,41,Female,Business,Loyal Customer,Business travel,123,1,3
23464,12,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23465,36,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23466,49,Male,Business,Loyal Customer,Business travel,123,1,3
23467,55,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23468,43,Female,Business,Loyal Customer,Business travel,123,1,3
23469,49,Female,Business,disloyal Customer,Business travel,123,1,3
23470,35,Female,Eco,disloyal Customer,Business travel,123,1,3
23471,45,Male,Business,Loyal Customer,Business travel,123,1,3
23473,28,Female,Business,Loyal Customer,Business travel,123,1,3
23474,60,Male,Business,Loyal Customer,Business travel,123,1,3
23475,35,Male,Business,Loyal Customer,Business travel,123,1,3
23476,38,Female,Business,disloyal Customer,Business travel,123,1,3
23477,48,Male,Business,Loyal Customer,Business travel,123,1,3
23478,65,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23479,30,Male,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23480,51,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23481,23,Male,Eco,disloyal Customer,Business travel,123,1,3
23482,37,Female,Eco,Loyal Customer,Business travel,123,1,3
23483,23,Male,Business,Loyal Customer,Business travel,123,1,3
23484,32,Male,Business,Loyal Customer,Business travel,123,1,3
23485,67,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23486,65,Male,Business,Loyal Customer,Personal Travel,123,1,3
23487,48,Female,Business,Loyal Customer,Business travel,123,1,3
23489,60,Male,Business,Loyal Customer,Business travel,123,1,3
23490,31,Female,Business,Loyal Customer,Business travel,123,1,3
23491,22,Male,Eco Plus,Loyal Customer,Business travel,123,1,3
23492,27,Male,Eco,disloyal Customer,Business travel,123,1,3
23493,19,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23495,26,Female,Eco,disloyal Customer,Business travel,123,1,3
23496,72,Male,Eco,Loyal Customer,Business travel,123,1,3
23497,34,Female,Business,Loyal Customer,Business travel,123,1,3
23499,45,Female,Business,Loyal Customer,Business travel,123,1,3
23500,51,Male,Business,Loyal Customer,Business travel,123,1,3
23501,26,Female,Eco,disloyal Customer,Business travel,123,1,3
23502,12,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23503,72,Female,Eco Plus,Loyal Customer,Business travel,123,1,3
23504,45,Male,Eco,Loyal Customer,Business travel,123,1,3
23505,22,Female,Business,Loyal Customer,Business travel,123,1,3
23506,53,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23507,33,Female,Business,disloyal Customer,Business travel,123,1,3
23508,46,Female,Business,Loyal Customer,Personal Travel,123,1,3
23509,54,Male,Business,Loyal Customer,Business travel,123,1,3
23510,40,Female,Eco,Loyal Customer,Business travel,123,1,3
23511,37,Female,Business,Loyal Customer,Business travel,123,1,3
23512,35,Female,Business,Loyal Customer,Business travel,123,1,3
23513,26,Female,Business,disloyal Customer,Business travel,123,1,3
23514,62,Female,Eco,Loyal Customer,Business travel,123,1,3
23515,58,Male,Business,Loyal Customer,Business travel,123,1,3
23516,55,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23517,60,Female,Business,Loyal Customer,Business travel,123,1,3
23518,15,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23519,67,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23520,43,Male,Business,Loyal Customer,Business travel,123,1,3
23521,30,Male,Business,Loyal Customer,Business travel,123,1,3
23522,42,Female,Eco,Loyal Customer,Business travel,123,1,3
23523,40,Male,Business,Loyal Customer,Business travel,123,1,3
23524,47,Male,Business,Loyal Customer,Business travel,123,1,3
23525,38,Male,Business,Loyal Customer,Business travel,123,1,3
23526,25,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23527,26,Male,Eco,disloyal Customer,Business travel,123,1,3
23528,66,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23529,69,Female,Eco,Loyal Customer,Business travel,123,1,3
23530,22,Female,Business,Loyal Customer,Business travel,123,1,3
23531,8,Male,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23532,37,Female,Business,disloyal Customer,Business travel,123,1,3
23533,69,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23534,28,Male,Eco,Loyal Customer,Business travel,123,1,3
23535,51,Male,Eco Plus,Loyal Customer,Business travel,123,1,3
23536,46,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23537,39,Male,Business,disloyal Customer,Business travel,123,1,3
23538,21,Female,Eco Plus,disloyal Customer,Business travel,123,1,3
23539,46,Male,Business,Loyal Customer,Business travel,123,1,3
23540,36,Female,Business,Loyal Customer,Business travel,123,1,3
23541,60,Male,Business,Loyal Customer,Business travel,123,1,3
23542,23,Male,Eco Plus,Loyal Customer,Business travel,123,1,3
23543,52,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23544,36,Male,Eco,Loyal Customer,Business travel,123,1,3
23545,41,Male,Business,Loyal Customer,Business travel,123,1,3
23547,45,Male,Business,Loyal Customer,Business travel,123,1,3
23548,67,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23549,45,Female,Business,Loyal Customer,Business travel,123,1,3
23550,56,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23551,62,Female,Eco,disloyal Customer,Business travel,123,1,3
23552,30,Female,Business,Loyal Customer,Business travel,123,1,3
23553,48,Male,Eco,Loyal Customer,Business travel,123,1,3
23554,32,Female,Business,Loyal Customer,Business travel,123,1,3
23555,30,Female,Business,Loyal Customer,Business travel,123,1,3
23556,40,Female,Business,disloyal Customer,Business travel,123,1,3
23557,42,Male,Business,Loyal Customer,Business travel,123,1,3
23558,52,Female,Business,Loyal Customer,Business travel,123,1,3
23559,50,Male,Business,Loyal Customer,Business travel,123,1,3
23560,18,Female,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23561,30,Male,Business,Loyal Customer,Business travel,123,1,3
23562,26,Female,Eco,disloyal Customer,Business travel,123,1,3
23563,37,Male,Business,disloyal Customer,Business travel,123,1,3
23564,64,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23565,21,Male,Business,disloyal Customer,Business travel,123,1,3
23566,52,Female,Business,Loyal Customer,Business travel,123,1,3
23567,52,Female,Business,Loyal Customer,Business travel,123,1,3
23568,29,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23569,13,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23570,28,Male,Business,Loyal Customer,Business travel,123,1,3
23571,13,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23572,16,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23573,58,Male,Business,Loyal Customer,Business travel,123,1,3
23574,24,Male,Eco,disloyal Customer,Business travel,123,1,3
23575,25,Male,Business,Loyal Customer,Business travel,123,1,3
23576,34,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23577,44,Female,Business,Loyal Customer,Business travel,123,1,3
23578,23,Female,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23579,20,Male,Business,disloyal Customer,Business travel,123,1,3
23580,8,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23581,26,Female,Eco,Loyal Customer,Business travel,123,1,3
23582,43,Male,Eco,Loyal Customer,Business travel,123,1,3
23583,72,Female,Business,Loyal Customer,Business travel,123,1,3
23586,48,Female,Eco,Loyal Customer,Business travel,123,1,5
23587,27,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23589,25,Male,Business,Loyal Customer,Business travel,123,1,5
23591,26,Male,Eco,disloyal Customer,Business travel,123,1,5
23593,16,Male,Business,disloyal Customer,Business travel,123,1,5
23594,36,Female,Business,disloyal Customer,Business travel,123,1,5
23595,55,Male,Business,Loyal Customer,Personal Travel,123,1,5
23596,23,Female,Eco,disloyal Customer,Business travel,123,1,5
23597,50,Male,Business,Loyal Customer,Business travel,123,1,5
23598,45,Female,Business,Loyal Customer,Business travel,123,1,5
23599,57,Male,Business,Loyal Customer,Business travel,123,1,5
23600,50,Female,Business,Loyal Customer,Business travel,123,1,5
23601,42,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23602,34,Female,Business,Loyal Customer,Business travel,123,1,5
23604,17,Female,Eco Plus,disloyal Customer,Business travel,123,1,5
23605,45,Male,Business,Loyal Customer,Business travel,123,1,5
23607,59,Female,Business,Loyal Customer,Business travel,123,1,5
23608,39,Male,Eco,Loyal Customer,Business travel,123,1,5
23609,28,Male,Business,Loyal Customer,Business travel,123,1,5
23610,44,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23611,9,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23612,24,Female,Eco,Loyal Customer,Business travel,123,1,5
23613,37,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23614,25,Female,Eco,disloyal Customer,Business travel,123,1,5
23615,22,Male,Business,Loyal Customer,Business travel,123,1,5
23616,55,Male,Business,Loyal Customer,Business travel,123,1,5
23617,53,Male,Eco,Loyal Customer,Business travel,123,1,5
23618,46,Female,Business,Loyal Customer,Business travel,123,1,5
23619,62,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23620,53,Female,Business,Loyal Customer,Business travel,123,1,5
23622,50,Female,Business,Loyal Customer,Business travel,123,1,5
23623,57,Male,Business,Loyal Customer,Business travel,123,1,5
23624,54,Female,Business,Loyal Customer,Business travel,123,1,5
23625,42,Female,Business,Loyal Customer,Business travel,123,1,5
23626,17,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23627,53,Female,Business,Loyal Customer,Business travel,123,1,5
23628,49,Male,Business,Loyal Customer,Business travel,123,1,5
23629,37,Female,Eco Plus,Loyal Customer,Business travel,123,1,5
23630,35,Male,Eco,Loyal Customer,Business travel,123,1,5
23631,30,Male,Business,Loyal Customer,Business travel,123,1,5
23632,16,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23633,46,Male,Business,Loyal Customer,Business travel,123,1,5
23634,51,Female,Business,Loyal Customer,Business travel,123,1,5
23636,70,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23637,26,Male,Business,disloyal Customer,Business travel,123,1,5
23638,46,Male,Business,Loyal Customer,Business travel,123,1,5
23640,12,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23641,25,Male,Business,Loyal Customer,Business travel,123,1,5
23642,63,Female,Business,Loyal Customer,Business travel,123,1,5
23643,48,Female,Business,Loyal Customer,Business travel,123,1,5
23644,43,Female,Business,Loyal Customer,Business travel,123,1,5
23645,35,Female,Business,Loyal Customer,Business travel,123,1,5
23646,32,Female,Business,Loyal Customer,Business travel,123,1,5
23647,44,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23648,60,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23649,20,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23650,10,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23651,51,Female,Business,Loyal Customer,Business travel,123,1,5
23652,22,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23653,42,Female,Eco,Loyal Customer,Personal Travel,123,1,5
23654,32,Male,Business,Loyal Customer,Business travel,123,1,5
23655,24,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23657,43,Female,Business,Loyal Customer,Business travel,123,1,5
23658,7,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23659,29,Male,Business,Loyal Customer,Business travel,123,3,5
23660,48,Female,Eco Plus,Loyal Customer,Business travel,123,3,5
23661,25,Male,Eco,disloyal Customer,Business travel,123,3,5
23662,25,Male,Eco,Loyal Customer,Personal Travel,123,3,5
23663,35,Female,Business,Loyal Customer,Business travel,123,3,5
23664,57,Female,Eco,Loyal Customer,Business travel,123,3,5
23665,52,Male,Business,Loyal Customer,Business travel,123,3,5
23666,17,Female,Eco,Loyal Customer,Business travel,123,3,5
23667,30,Female,Eco,Loyal Customer,Personal Travel,123,3,5
23668,38,Male,Business,Loyal Customer,Business travel,123,3,5
23669,38,Female,Business,Loyal Customer,Business travel,123,3,5
23670,38,Female,Business,disloyal Customer,Business travel,123,3,5
23671,23,Male,Eco,disloyal Customer,Business travel,123,3,5
23672,39,Female,Business,Loyal Customer,Business travel,123,3,5
23673,55,Female,Business,Loyal Customer,Business travel,123,3,5
23674,25,Female,Business,disloyal Customer,Business travel,123,3,5
23675,59,Male,Business,Loyal Customer,Business travel,123,3,5
23676,9,Female,Eco Plus,Loyal Customer,Personal Travel,123,3,5
23677,26,Female,Business,disloyal Customer,Business travel,123,3,5
23678,51,Male,Business,Loyal Customer,Business travel,123,3,5
23679,40,Male,Business,Loyal Customer,Business travel,123,3,5
23680,56,Male,Business,Loyal Customer,Business travel,123,3,5
23681,56,Female,Eco,Loyal Customer,Personal Travel,123,3,5
23682,18,Female,Eco,Loyal Customer,Personal Travel,123,3,5
23683,8,Female,Eco Plus,Loyal Customer,Personal Travel,123,3,5
23684,33,Male,Eco Plus,Loyal Customer,Business travel,123,3,5
23685,46,Male,Business,Loyal Customer,Business travel,123,3,5
23686,41,Female,Business,Loyal Customer,Business travel,123,3,5
23687,36,Female,Business,Loyal Customer,Business travel,123,3,5
23688,26,Male,Business,Loyal Customer,Business travel,123,3,5
23689,36,Female,Eco,disloyal Customer,Business travel,123,3,5
23690,31,Male,Business,Loyal Customer,Business travel,123,3,5
23691,24,Male,Eco,Loyal Customer,Personal Travel,123,3,5
23692,39,Female,Business,Loyal Customer,Business travel,123,3,5
23694,20,Female,Eco,disloyal Customer,Business travel,123,3,5
23695,69,Female,Eco,Loyal Customer,Personal Travel,123,3,5
23696,27,Female,Eco,disloyal Customer,Business travel,123,3,5
23697,10,Female,Eco,Loyal Customer,Business travel,123,3,5
23698,60,Male,Business,Loyal Customer,Business travel,123,3,5
23699,44,Male,Business,Loyal Customer,Business travel,123,3,5
23700,68,Female,Eco,Loyal Customer,Personal Travel,123,3,5
